BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15573,6092572,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",85,72,Dark Bluish Gray,Solid Colors,3,0.3
2431,4211053,2431,Tile 1 x 4,85,72,Dark Bluish Gray,Solid Colors,1,0.54
3004,300426,3004,Brick 1 x 2,11,0,Black,Solid Colors,1,0.8
3005,4211098,3005,Brick 1 x 1,85,72,Dark Bluish Gray,Solid Colors,3,0.44
3005,300526,3005,Brick 1 x 1,11,0,Black,Solid Colors,1,0.44
3023,4211063,3023,Plate 1 x 2,85,72,Dark Bluish Gray,Solid Colors,3,0.36
3023,302326,3023,Plate 1 x 2,11,0,Black,Solid Colors,3,0.36
3024,302426,3024,Plate 1 x 1,11,0,Black,Solid Colors,1,0.2
3034,4210997,3034,Plate 2 x 8,85,72,Dark Bluish Gray,Solid Colors,1,2.27
3460,4210998,3460,Plate 1 x 8,85,72,Dark Bluish Gray,Solid Colors,1,1.36
38583,6292417,38583,Arch 1 x 2 Jumper,85,72,Dark Bluish Gray,Solid Colors,3,0
4162,4211008,4162,Tile 1 x 8,85,72,Dark Bluish Gray,Solid Colors,1,1.06
54200,4504382,54200,Slope 30 1 x 1 x 2/3,11,0,Black,Solid Colors,1,0.21
6541,654126,6541,"Technic, Brick 1 x 1 with Hole",11,0,Black,Solid Colors,1,0.38
87087,4558954,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",11,0,Black,Solid Colors,1,0.45
92946,6069000,92946,Slope 45 2 x 1 with 2/3 Cutout,11,0,Black,Solid Colors,3,0.42
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
28,13.35,,,,,,,,
